1,Checking,Closed,2018-05-01,,15019.76
2,Credit Card,Inactive,2024-06-17,2025-04-15,25849.86
3,Savings,Inactive,2025-12-21,,40537.48
4,Overdraft,Inactive,2023-03-15,2023-12-03,19179.29
5,Credit Card,Closed,2024-03-09,,22363.3
6,Loan,Inactive,2024-05-23,,45664.43
7,Credit Card,Active,2019-03-02,,10604.31
8,Credit Card,Active,2018-11-20,2021-09-28,7086.51
9,Investment,Closed,2018-04-28,,17175.48
10,Overdraft,Inactive,2020-04-11,2025-01-26,39197.55
11,Savings,Active,2022-04-18,2023-07-03,37750.86
12,Overdraft,Closed,2025-08-20,,12019.03
13,Investment,Inactive,2017-10-09,2020-04-11,48116.65
14,Checking,Active,2017-04-20,,1428.92
15,Loan,Active,2018-04-05,,37784.17
16,Investment,Active,2025-10-14,,4817.79
17,Loan,Closed,2018-03-19,,42043.19
18,Investment,Closed,2025-08-01,,6278.34
19,Loan,Inactive,2021-09-20,2023-11-20,39501.29
20,Credit Card,Inactive,2018-05-06,,14596.83
21,Loan,Closed,2024-04-12,2024-05-23,17077.58
22,Savings,Inactive,2019-09-19,2024-05-29,16134.9
23,Overdraft,Inactive,2017-02-04,,20868.49
24,Savings,Active,2024-06-20,,6897.1
25,Loan,Closed,2017-04-19,,28680.35
26,Credit Card,Inactive,2023-01-14,,30133.83
27,Checking,Active,2017-09-26,,5452.16
28,Investment,Active,2020-12-17,2024-09-22,45915.91
29,Checking,Closed,2022-11-14,,12503.46
30,Loan,Inactive,2022-02-03,,7873.28
31,Loan,Active,2023-11-05,,24489.66
32,Credit Card,Inactive,2019-05-18,,39807.7
33,Savings,Inactive,2019-02-24,,5588.54
34,Overdraft,Active,2020-04-18,,45255.84
35,Checking,Active,2019-06-20,2025-04-10,47478.74
36,Loan,Inactive,2019-05-03,,33326.64
37,Loan,Closed,2016-02-15,2019-05-18,8041.94
38,Checking,Active,2023-11-06,,7365.63
39,Checking,Active,2016-11-01,,47497.34
40,Savings,Active,2020-01-27,,38588.62
41,Credit Card,Closed,2016-08-20,,83.46
42,Overdraft,Closed,2018-08-17,,21977.32
43,Overdraft,Closed,2017-08-26,2023-12-04,21386.51
44,Overdraft,Closed,2022-10-26,,2488.21
45,Investment,Active,2018-04-16,2024-02-28,35867.71
46,Loan,Active,2017-05-16,,16830.67
47,Checking,Closed,2016-06-23,,2027.69
48,Credit Card,Inactive,2023-08-05,,20906.45
49,Investment,Active,2019-09-08,,38585.28
50,Savings,Inactive,2016-09-17,,43219.9
51,Savings,Closed,2025-12-10,,44637.94
52,Checking,Active,2024-09-29,2024-12-16,18260.28
53,Credit Card,Inactive,2022-07-17,2024-12-12,42398.93
54,Overdraft,Inactive,2021-12-25,,35481.59
